creation_date,prog_date,sunshine_total_h,sunshine_percent_total,temp_min,temp_max,precipitation_total_mm,wind_avg,wind_max,wind_dir_avg,weather_type,weather_icon
2026-01-20,2026-01-21,3.2333333333333334,35.92592592592593,1.5499999999999545,7.25,0.0,3.3662499999999995,3.6,147.3441241538253,wolkig,"<img src=""./data/online-icons/w_wolkig.svg"" width=""32"">"
2026-01-20,2026-01-22,5.183333333333334,57.592592592592595,0.75,4.649999999999977,0.0,2.7225,3.09,110.46154654418035,heiter,"<img src=""./data/online-icons/w_heiter.svg"" width=""32"">"
2026-01-20,2026-01-23,1.4,15.555555555555555,0.44999999999998863,4.449999999999989,0.0,2.9370833333333333,3.6,106.98042457138524,bedeckt,"<img src=""./data/online-icons/w_bedeckt.svg"" width=""32"">"
2026-01-20,2026-01-24,1.65,18.333333333333332,-1.25,1.1499999999999773,0.0,2.8083333333333336,3.09,84.62531144093248,bedeckt,"<img src=""./data/online-icons/w_bedeckt.svg"" width=""32"">"
2026-01-20,2026-01-25,2.05,22.77777777777778,-0.6500000000000341,2.0499999999999545,0.0,2.7866666666666666,3.09,90.30300233858185,wolkig,"<img src=""./data/online-icons/w_wolkig.svg"" width=""32"">"
2026-01-20,2026-01-26,0.7333333333333333,8.148148148148149,-1.3500000000000227,-0.05000000000001137,0.0,3.1962499999999996,3.6,61.091199052103036,bedeckt,"<img src=""./data/online-icons/w_bedeckt.svg"" width=""32"">"
2026-01-20,2026-01-27,0.9333333333333333,10.37037037037037,-2.3500000000000227,-0.6500000000000341,0.0,2.9166666666666665,3.09,92.57888053439291,bedeckt,"<img src=""./data/online-icons/w_bedeckt.svg"" width=""32"">"
2026-01-20,2026-01-28,1.7333333333333334,19.25925925925926,-1.9500000000000455,0.44999999999998863,0.0,3.3662499999999995,3.6,121.6162778537826,bedeckt_vereinzelt_schneeschauer,"<img src=""./data/online-icons/w_bedeckt_vereinzelt_schneeschauer.svg"" width=""32"">"
2026-01-20,2026-01-29,1.5,16.666666666666664,-2.8500000000000227,1.75,0.0,3.579166666666667,4.12,142.87383247179963,bedeckt_schneeregenschauer,"<img src=""./data/online-icons/w_bedeckt_schneeregenschauer.svg"" width=""32"">"
2026-01-20,2026-01-30,2.45,27.22222222222222,-1.150000000000034,2.1499999999999773,0.0,3.4516666666666667,4.12,161.28879256527443,wolkig,"<img src=""./data/online-icons/w_wolkig.svg"" width=""32"">"
2026-01-21,2026-01-22,5.533333333333333,61.48148148148148,-0.05000000000001137,4.5499999999999545,0.0,2.4862499999999996,3.09,109.87160214603921,klar,"<img src=""./data/online-icons/w_klar.svg"" width=""32"">"
2026-01-21,2026-01-23,2.7666666666666666,30.74074074074074,1.5499999999999545,5.349999999999966,0.0,2.7433333333333336,3.09,108.15172981955789,wolkig,"<img src=""./data/online-icons/w_wolkig.svg"" width=""32"">"
2026-01-21,2026-01-24,0.75,8.333333333333332,0.44999999999998863,2.1499999999999773,0.0,2.5916666666666663,3.09,91.246436233096,bedeckt_vereinzelt_schneeregenschauer,"<img src=""./data/online-icons/w_bedeckt_vereinzelt_schneeregenschauer.svg"" width=""32"">"
2026-01-21,2026-01-25,1.8166666666666667,20.185185185185187,-0.6500000000000341,2.849999999999966,0.0,2.8083333333333336,3.09,77.7940200537281,wolkig_vereinzelt_schneeregenschauer,"<img src=""./data/online-icons/w_wolkig_vereinzelt_schneeregenschauer.svg"" width=""32"">"
2026-01-21,2026-01-26,1.9833333333333334,22.037037037037038,-1.3500000000000227,0.9499999999999886,0.0,3.09,3.09,80.00317467278188,wolkig,"<img src=""./data/online-icons/w_wolkig.svg"" width=""32"">"
2026-01-21,2026-01-27,1.7,18.88888888888889,-1.4500000000000455,1.75,0.0,3.5170833333333333,4.12,112.53803974305856,bedeckt,"<img src=""./data/online-icons/w_bedeckt.svg"" width=""32"">"
2026-01-21,2026-01-28,1.3,14.444444444444443,-0.1500000000000341,2.75,0.0,3.4299999999999997,3.6,124.45991239812281,bedeckt,"<img src=""./data/online-icons/w_bedeckt.svg"" width=""32"">"
2026-01-21,2026-01-29,1.65,18.333333333333332,-1.650000000000034,1.5499999999999545,0.0,3.2175,3.6,149.62907542840503,bedeckt,"<img src=""./data/online-icons/w_bedeckt.svg"" width=""32"">"
2026-01-21,2026-01-30,2.35,26.111111111111114,-0.35000000000002274,1.9499999999999886,0.0,3.5591666666666666,4.12,173.01171607674655,wolkig,"<img src=""./data/online-icons/w_wolkig.svg"" width=""32"">"
2026-01-21,2026-01-31,2.05,22.77777777777778,-0.4500000000000455,2.6499999999999773,0.0,3.4941666666666666,4.12,175.69743558669313,wolkig_schneeregenschauer,"<img src=""./data/online-icons/w_wolkig_schneeregenschauer.svg"" width=""32"">"
